text	arg	arg.type	arg.num	neg	pers.num	verb.category
RT @child_in_cry: @tinvafla  Я не умею в сигны https://t.co/FUW839Fojz	сигна	object	pl	1	1sg	can.into
@princeofkeksiki ну во время секса не так обидно, я не умею в перфомансы, скучно выходит	перформанс	object	pl	1	1sg	can.into
Однако ни разу еще не учитывался тот факт, что я жуткий интроверт и не умею в общение с людьми	общение	action	sg	1	1sg	can.into
Ужасно захотелось нарисовать чернокожую девчушку, но черт, я не умею в такие оттенки кожи, лол	оттенки	object	pl	1	1sg	can.into
@Kristerstein когда ты слоупок и только увидел. Я совершенно не умею в такие вещи, и ещё меньше в описания, но попробую?	вещи	object	pl	1	1sg	can.into
@sent_vinsent АХАХАХАХАХАХАХА конечно 🌚 я не умею в бессюжетный прон по ганнигрэму) т.е. умею, но не в фф :D хотя... а впрочем, не надо)	прон	object	sg	1	1sg	can.into
Я не умею в отношения. Зато друг хороший, че.	отношение	object	pl	1	1sg	can.into
@Blue_shrimp нифига я не умею в поздравления, на самом деле. не умею я выразить своё отношение в полной мере. но правда люблю тебя &lt;3	поздравление	object	pl	1	1sg	can.into
потом в дидже перерисую не умею в традиш	традиш	object	sg	1	1sg	can.into
Меня зовут  Мокона и я не умею в оригинальность. https://t.co/MDtevSTLB3	оригинальность	object	sg	1	1sg	can.into
не умею в построение композиции, по этому буду просто перетаскивать и вращать пока не станет KPACUBO https://t.co/wpvEr4KjLm	построение	action	sg	1	1sg	can.into
@Nikirari я в принципе не очень умею в животных	животные	object	pl	1	1sg	can.into
очень грустно кстати что я не понимаю что мне делать как вести с нашей собакой  не умею в собак	собака	object	pl	1	1sg	can.into
@Wolfs_Tail а я умею в пафос, когда реп пытаюсь читать, но ет эпично выглядит XD	пафос	object	sg	0	1sg	can.into
Все еще не умею в аниме https://t.co/DdcZkbeaZq	аниме	object	sg	1	1sg	can.into
Всё ещё не умею в красоту, ну и ладно	красота	object	sg	1	1sg	can.into
@frstmk блин щит я не умею в макси(	макси	object	sg	1	1sg	can.into
блять всё не знаю не умею в конфликты и мне физически плохо стало пойду фильм досматривать	конфликт	object	pl	1	1sg	can.into
Я не могу, я не умею в профиль, я КЛЯЛАСЬ СЕБЕ не сдавать профиль. Я никогда ему не училась!	профиль	object	sg	1	1sg	can.into
Горячо Жаль, я не умею в НЦу https://t.co/BcHGqigyeZ	нц	object	sg	1	1sg	can.into
Мне 16,я нежна и молода,уже умею красить брови,но еще не умею в пафосное лайк э бич ебало. https://t.co/tssOfMSkSL	ебало	object	sg	1	1sg	can.into
@LoonyDragon но я их правда не ношу! Мне в своё время их родители купили, а я просто не умею в красивое ношение вещей, вот и не трогаю	ношение	action	sg	1	1sg	can.into
у меня никогда не будет второй половинки потому что я не умею в эти ваши отношения	отношение	object	pl	1	1sg	can.into
вы все охуели просто господи я же не умею в подарки я что вам всем натурой расплачиваться буду!!!	подарок	object	pl	1	1sg	can.into
RT @luuucky_clover: [ david bowie - life on mars? ]  не умею в эстетики, но я пытался https://t.co/ckXCjEqRFT	эстетика	object	pl	1	1sg	can.into
я не умею в фем и в гет как я собрался выживать	фем	object	sg	1	1sg	can.into
@kenzolika я могу быть самым фрустрейтед в команде оттого как я умею в командную и очень бешусь	командная	object	sg	0	1sg	can.into
тихонечко осознаю что НЕ УМЕЮ В АНДЕРЭЙДЖ то есть вообще не осознаю разницу в возрасте между людьми	андерейдж	object	sg	1	1sg	can.into
я не умею в полноценки полноценки сосут хуй скетчи лучше у меня все	полноценка	object	pl	1	1sg	can.into
@sweet_cherry22 ну вообще разные вещи Я не умею в говно, ты ж знаешь	говно	object	sg	1	1sg	can.into
не умею в социоигру	социоигра	object	sg	1	1sg	can.into
разговор ушел в сторону "не умею в личную жизнь"	жизнь	object	sg	1	1sg	can.into
RT @fkatvvigstxt: блять я не умею в открывание рта и издавание звуков	открывание	action	sg	1	1sg	can.into
@pvt_Tumanov мб я не умею в облака? Найти (бесплатно) фильм Х с сабами на планшете - боль, да и платно полгода ждать. А малина just for fun?	облако	object	pl	1	1sg	can.into
ка адски жаль что я не умею в графику я бы стлько и нарисовал тттттт https://t.co/yQ1H3IvsXY	графика	object	sg	1	1sg	can.into
А еще я не умею в бэк, мэх	бэк	object	sg	1	1sg	can.into
Еееее, я не умею в фон.~ https://t.co/GSHIznEdir	фон	object	sg	1	1sg	can.into
Статистика того, как я умею в разные эмоции. А вообще, вместо опции "вспомните год" я бы выбрала забыть 2016й нахуй. https://t.co/TjG1w8CMvH	эмоции	object	pl	1	1sg	can.into
@haremageddon такого не знаю (гугл мне в помощь), а из всей выпечки умею в блины, шарлотку и песочные печеньки пока что)	блин	object	pl	0	1sg	can.into
@rationalsister но на самом деле это будет ромком, просто я не умею в _просто_	просто	object	sg	1	1sg	can.into
@maslitso я не умею в пение.	пение	action	sg	1	1sg	can.into
я тоже умею в щачло щегла https://t.co/dj534Nnwy5	щачло	object	sg	1	1sg	can.into
@sd0107 не, фотошопа нет, да я и не умею в него. Еще фотки делать лень)	фотошоп	object	sg	1	1sg	can.into
@Kedius @WithinMKAD @Devyatov не буду спорить, я не умею в футбол)	футбол	object	sg	1	1sg	can.into
@ukrjoker зависть :( я не очень умею в еду	еда	object	sg	1	1sg	can.into
Не умею в спорт от слова вообще @ Такстакс что тут у нас ага спортакон ага ясненько *набирает 200 планов*	спорт	object	sg	1	1sg	can.into
Я не умею в аестетики, поэтому это просто мудборд????	аестетика	object	pl	1	1sg	can.into
БЛЯЯЯ Я НЕ УМЕЮ В СОБАК	собака	object	pl	1	1sg	can.into
Не умею в эстетики но как же круто их делать	эстетика	object	pl	1	1sg	can.into
@uspeh_i_tyolki я не умею в статьи	статья	object	pl	1	1sg	can.into
я не умею в хэ на самом деле что-нибудь всё равно случилось бы, я знаю да и кьётани там слишком слишком	хэ	object	sg	1	1sg	can.into
@frozen_lion @Kuzen4ik бл, слишком сложна для меня, не умею в такой юмор	юмор	object	sg	1	1sg	can.into
@Pintim1 я не умею в подарки	подарок	object	pl	1	1sg	can.into
Я НЕ УМЕЮ В СЛОВА	слово	object	pl	1	1sg	can.into
Я не умею в стрелки	стрелка	object	pl	1	1sg	can.into
Ладно бы квест "пойди туда - не знаю куда", но там еще и продолжение в виде "найди человека и пообщайся с ним". Я плохо умею в квесты :(	квест	object	pl	1	1sg	can.into
Спать - это, конечно, хорошо. Но я не умею в спать :(	спать	action	sg	1	1sg	can.into
Почему я не умею в стилизацию?	стилизация	object	sg	1	1sg	can.into
Сделаем вид что я умею в цвет А вообще Пытаюсь Итс хард, но я пытаюсь https://t.co/LrhjUxikOz	цвет	object	sg	0	1sg	can.into
@retrsh я не умею в шиппы но ОЧЕНЬ ПОСТАРАЮСЬ ДЛЯ РЕТРША!!!!	шипп	object	pl	1	1sg	can.into
Привет, анонусы. Я хочу погроммировать. Я даже вполне сносно умею в плюсы. Могу пару скриптов на питоне или перле н https://t.co/VC6mMjM4Fm	плюс	object	pl	0	1sg	can.into
Это порн, но я не умею в ракурсы, олололол	ракурс	object	pl	1	1sg	can.into
Не умею в акварель как всегда	акварель	object	sg	1	1sg	can.into
RT @lana55571: "Я ВАТНИК и меня не изменить...И я умею Родину любить..." https://t.co/fN8fdZ6LDG	любить	action	None	0	1sg	can.usual
@ohorat_twt приходи ко мне могу выслушать подбадривать не умею	подбадривать	action	None	1	1sg	can.usual
RT @anuta_anuta31: Магнус. Я не...я не очень хорошо умею извинятся.   #shadowhunters #malec https://t.co/7zMPLfMr8F	извиняться	action	None	1	1sg	can.usual
Я умею держать ровно спину, И давно уж не верю словам: "Я тебя никогда не... https://t.co/4hm7GKlqW5	держать	action	None	0	1sg	can.usual
RT @OhElWang: @MsEsmira28 😅 я ж умею поддерживать, видно, да? 😘 жду этого момента, глупышка	поддерживать	action	None	0	1sg	can.usual
Я не умею танцевать и пою я плохо Мне так-то похуй	танцевать	action	None	1	1sg	can.usual
Не умею любить!!!!Что делать?	любить	action	None	1	1sg	can.usual
Настя :Оставь учёбу позади и живи и радуйся тому что есть Карина и Я : 😂😂😂😂 Настя : Я тоже умею сочинять бред	сочинять	action	None	0	1sg	can.usual
я не умею успокаивать людей @baadrtdinoff https://t.co/1qc7tXyUxm	успокаивать	action	None	1	1sg	can.usual
@Pers0naGrata не умею врать, и совесть загрызёт - мама совсем одна	врать	action	None	1	1sg	can.usual
Стихи писать я не умею,но мысли излогать могу, Я просто от тебя балдею,И не во сне, а наяву!!! #TEAMFOLLOWBACK	писать	action	None	1	1sg	can.usual
RT @inani_ty: порезаться бумагой могу, умею, блятькакжесукабольнооо	порезаться	action	None	0	1sg	can.usual
@hate_dope тебя? Куда, простите? Типо, создать героиню, похожую на тебя? Ето я умею... Предложи что-нибудь с  сюжетом.	ето	action	None	0	1sg	can.usual
Крч мама заболела  Выходит тройка Нихуя не умею играть в футбол а В пон на матч  Я болею немного Мама Начала подозр… https://t.co/guzL5HC8B6	играть	action	None	1	1sg	can.usual
RT @littlepill69: Ребят, а прикиньте, я свинья, я не умею ухаживать за собой, мне похуй на всё, не умею ваще следить за собой и ваще я мраз…	ухаживать	action	None	1	1sg	can.usual
RT @HistoryFoto: «Я не умею быть второй. И даже первой не умею. Только единственной» Галина Волчек. Сегодня у нее день рождения. https://t.…	быть	action	None	1	1sg	can.usual
Советы от Брюса Ли. 1. Я уверен только в одном: я не умею петь.	петь	action	None	1	1sg	can.usual
Вот вообще не хочу. Но не умею говорить "нет". Надеюсь, все нормально будет	говорить	action	None	1	1sg	can.usual
Не умею делать скрины, поэтому так: подарите... хуй тебе!	делать	action	None	1	1sg	can.usual
Умею вовремя ответить https://t.co/RbjqrudH43	ответить	action	None	0	1sg	can.usual
Мы лазили по канату, подходит к однокле и говорит ну че, иди, она такая, ну я не умею, я толстая	None	None	None	1	1sg	can.usual
Я не конфликтный человек. Но когда себя мерзко ведут... Видимо, я умею хоть немного голос повышать.	повышать	action	None	0	1sg	can.usual
@Simpson327 как тихо то блять, если я не умею	None	None	None	1	1sg	can.usual
Умею, люблю 🍱 https://t.co/23iTDPAMQW	None	None	None	0	1sg	can.usual
@chesh_1 знаю :з НО ПРОСТО Я НЕ УМЕЮ УЧИТЬСЯ))0	учиться	action	None	1	1sg	can.usual
очень жалею, что не умею писать двумя руками	писать	action	None	1	1sg	can.usual
@before_perfect я не умею так	None	None	None	1	1sg	can.usual
RT @lerstyaisreal: @foray__ с днём рождения💕не умри(не умею поздравлять простите)	поздравлять	action	None	1	1sg	can.usual
RT @JERSTON132: Получаться как бог, когда на экскурсиях внезапно фотографируют мамки дноклассников? Люблю, умею, практикую https://t.co/EWv…	None	None	None	0	1sg	can.usual
Я не умею вовремя заткнуться))))0))) https://t.co/FSsaThjJJd	заткнуться	action	None	1	1sg	can.usual
Что делать,если я ничего классного не умею?	ничего	object	None	1	1sg	can.usual
Что-то порнографическое могу только читать, и представлять Ну, пикчи тож ничего Но что бы так конкретно порнуху зырить.. Сорри, не умею	None	None	None	1	1sg	can.usual
айщ не умею поддерживать убейте меня	поддерживать	action	None	1	1sg	can.usual
факт обо мне: я не умею нормально печатать	печатать	action	None	1	1sg	can.usual
на 18-й странице проды к абандонед впадаю в традиционную апатию типа "я не умею писать"	писать	action	None	1	1sg	can.usual
@PiDy_twt это да, но я так не умею)	так	None	None	1	1sg	can.usual
итог двухнедельной практики: я умею вежливо улыбаться и говорить morgen даже в 7 утра. на этом всё	улыбаться	action	None	0	1sg	can.usual
@julia_korbyt я умею 😨😨	None	None	None	0	1sg	can.usual
Не умею печь блины...научите?)))	печь	action	None	1	1sg	can.usual
Я очень хочу чтобы некоторые люди увидели дуэт полностью но я ж сто про всех заебал только умею что выебываться и ленту засорять	выебываться	action	None	0	1sg	can.usual
@_Dancing_Bunny_ я кататься не умею, да и времени особо нет, если честно)	кататься	action	None	1	1sg	can.usual
Мадс Миккельсен: "Я не умею достойно проигрывать" https://t.co/qKhWYMkTEP https://t.co/z16BGHjF6J	проигрывать	action	None	1	1sg	can.usual
Я НЕ УМЕЮ СЧИТАТЬ	считать	action	None	1	1sg	can.usual
Нет, не умею. И, если честно, не возникает особого желания научиться - просто-напросто отсутствует интерес к кулина… https://t.co/j31Z9TwqxD	None	None	None	1	1sg	can.usual
Как болеть, но не подавать никому виду..могу, умею , практикую😩	None	None	None	0	1sg	can.usual
Напиться в стельку после того, как заявила о жутком похмелье у демонов? Могу, умею, практикую. А виски в "доме у дороги" хороший...	None	None	None	0	1sg	can.usual
я настолько не умею ждать, что я пыталась 2 остановки пройти быстрее автобуса! автобуса, Карл.	ждать	action	None	1	1sg	can.usual
@colliincee я не умею их писать и я не знаю как и я тупая прост:))	писать	action	None	1	1sg	can.usual
Хотя ничего нового. Всегда делаю всё в последний момент, по-другому не умею	None	None	None	1	1sg	can.usual
переводить с латиницы на кириллицу Be Quiet, потому что нигде этого нет, могу, умею, практикую	None	None	None	0	1sg	can.usual
я не умею их писать :D https://t.co/ULJpRCg90c	писать	action	None	1	1sg	can.usual
А почему, я как и Вы летать не умею?!	летать	action	None	1	1sg	can.usual
Ищу работу принцессой... Умею командовать и хныкать)	командовать	action	None	0	1sg	can.usual
Да всё я умею делать сама.  Только вот мужчине об этом знать не нужно.	делать	action	None	0	1sg	can.usual
тебя и кароче я не умею такое говорить но думаю, что ты многим важна и в общем не уходи. вот	говорить	action	None	1	1sg	can.usual
Ну, я умею готовить хдд https://t.co/Ue0ylg6LY0	готовить	action	None	0	1sg	can.usual
Я умею нервы жечь до тлаааа, спорим Придержи все свои бла бла блаааааа, ну кто тебе сказаааал👅	жечь	action	None	0	1sg	can.usual
@Brown_Eyed_Alph я просто святоша,да ещё к тому же не умею веселиться *смотрю на тебя и в моих глазах так и плещет невинность*	веселиться	action	None	1	1sg	can.usual
Гспд. Я умею быть милой.^^ #gensei #gensei_studio #gensei_art #cosplay #russiancosplay… https://t.co/TcxPlxERJk	быть	action	None	0	1sg	can.usual
От «Хм, надо парня себе найти» до «Да ну нахер это дерьмо» за 1 секунду. Могу, умею, практикую. 😐	None	None	None	0	1sg	can.usual
RT @lovernis__: почему я не умею составлять такие конспекты? https://t.co/eCGtmzfjxI	составлять	action	None	1	1sg	can.usual